budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,title,cast,crew,genres_count,cast_count,crew_count,original_language_index,features,success
0.0,[],,191229,[],en,Iguana,A grotesquely disfigured harpooner called Iguana is severely mistreated by his fellow sailors on a whaling ship in the 19th century. One night he escapes and takes up residence on a remote island. He makes himself ruler of the island and declares war on mankind. Anyone unfortunate enough to wind up on the island with Iguana is subjected to his cruel tyranny.,0.214704,[],[],1988-04-01,0.0,88.0,"""[{""""iso_639_1"""": """"en"""""," """"name"""": """"English""""}"," {""""iso_639_1"""": """"es"""""," """"name"""": """"Espa\u00f1ol""""}]""",Released,,Iguana,"""[{""""cast_id"""": 6"," """"character"""": """"Oberlus""""",[],"""[{""""cast_id"""": 6"," """"character"""": """"Oberlus""""",0.0,"[0.0,0.2147040069103241,88.0,0.0]",0
0.0,[],,371085,[],en,Sharkskin,"The Post War II story of Manhattan born Mike Esposito, a practiced tailor of custom mens clothing; a man of dignity and honor, whose developing involvements with the Italian mob wraps him up in a world of moral dilemma and clashing values.",0.027801,[],[],2015-01-01,0.0,0.0,[],Released,,Sharkskin,0.0,0,Sharkskin,[],[],[],[],[],0.0,"(4,[1],[0.027800999581813812])",0
2000000.0,[],,48382,[],en,"The Book of Mormon Movie, Volume 1: The Journey","The story of Lehi and his wife Sariah and their four sons: Laman, Lemuel, Sam, and Nephi. Lehi leaves Jerusalem because he prophesied unto the people concerning the destruction of Jerusalem, and they sought his life. He journeys into the wilderness with his family. He sends Nephi and his brethren back to Jerusalem after the brass plates and the family of Ishmael. The sons and daughters of Lehi marry the sons and daughters of Ishmael. They take their families and continue into the wilderness. Ishmael dies in the wilderness. They come to the sea. Nephi's brethren rebel against him. He confounds them, and builds a ship. They cross the sea to the promised land in the Americas. Lehi dies in the promised land. Nephi's brethren rebel against him again. Nephi departs again into the wilderness.",0.031947,[],[],2003-09-12,1672730.0,120.0,[],Released,"2600 years ago, one family began a remarkable journey and set the course for a latter-day faith. This is their story.","The Book of Mormon Movie, Volume 1: The Journey",5.0,2,"The Book of Mormon Movie, Volume 1: The Journey","""[{""""cast_id"""": 1"," """"character"""": """"Sam""""",[],"""[{""""cast_id"""": 1"," """"character"""": """"Sam""""",0.0,"[2000000.0,0.031947001814842224,120.0,0.0]",0
0.0,[],,325140,[],en,Hum To Mohabbat Karega,"Raju, a waiter, is in love with the famous TV reporter Greeta Kapoor. After a man is murdered, Kapoor shows up at Raju's door to ask him some questions - it turns out that Raju served the dead man his last supper, and the authorities hope that he might be able to help them. Raju lies and says that he was an eye witness, in order to spend more time with Kapoor. He gives the police a false description of the killer, but it matches his best friend Kutti, so soon Kutti is wanted by the police, and the Mafia, who is responsible for the killing, is after Raju.",0.001186,[],[],2000-05-26,0.0,0.0,[],Released,,Hum To Mohabbat Karega,0.0,0,Hum To Mohabbat Karega,[],[],[],[],[],0.0,"(4,[1],[0.0011859999503940344])",0
0.0,[],,206412,[],en,Lisa Picard Is Famous,"A documentarian decides to follow the career of New York actress Lisa Picard, believing she is on the brink of fame. Instead, he bears witness to Lisa's continued, humorous, struggles as an actress, as well as the conflict that arises when Lisa's best friend Tate hits it big with an off-Broadway one-man show.",0.690089,[],[],2000-05-14,0.0,90.0,[],Released,,Lisa Picard Is Famous,4.0,1,Lisa Picard Is Famous,"""[{""""cast_id"""": 2"," """"character"""": """"""""",[],"""[{""""cast_id"""": 2"," """"character"""": """"""""",0.0,"[0.0,0.6900889873504639,90.0,0.0]",0
0.0,[],,219716,[],en,Sparkler,"Melba is a Californian trailer-park girl who is told to look for three kings by a phone psychic, and when she meets three guys - Trent, Brad and Joel traveling to Las Vegas, she decides they are those kings and joins them on a trip. In Vegas she meets her old high school pal Dottie.",0.547654,[],[],1999-03-19,0.0,96.0,[],Released,,Sparkler,0.0,1,Sparkler,"""[{""""cast_id"""": 2"," """"character"""": """"Melba May""""",[],"""[{""""cast_id"""": 2"," """"character"""": """"Melba May""""",0.0,"[0.0,0.5476539731025696,96.0,0.0]",0
0.0,[],,279759,[],en,Harrison Montgomery,Film from Daniel Davila,0.006943,[],[],2008-01-01,0.0,0.0,[],Released,,Harrison Montgomery,0.0,0,Harrison Montgomery,[],[],[],[],[],0.0,"(4,[1],[0.006943000014871359])",0
0.0,[],,331493,[],en,Light from the Darkroom,Light in the Darkroom is the story of two best friends whose faith is tested when their friends disappear during a religious pilgrimage.,0.012942,[],[],2014-01-01,0.0,0.0,[],Released,,Light from the Darkroom,0.0,0,Light from the Darkroom,[],[],[],[],[],0.0,"(4,[1],[0.012942000292241573])",0
500000.0,[],,297100,[],en,The Little Ponderosa Zoo,"The Little Ponderosa Zoo is preparing for their annual fundraiser festival that keeps the zoo afloat. The Freeman family, Jack, Judy, and their young daughter, Charlie opened the zoo years earlier after sharing their own home with the many animals they had rescued through the years With the help of Mr. Baker, their dependable zookeeper, the zoo has always been a huge hit with the small town. But, one day, the local bank owner discovers some dusty old documents in the basement of his bank that show that the zoo is sitting on a gold mine and, with the help of the town Mayor, and the Mayor s bumbling nephew, they immediately devise a devious plan to get the gold for themselves. The greedy trio see the annual festival as the perfect opportunity to put their dangerous plan into action and close the zoo forever and get their hands on the gold!",0.073079,[],[],2014-09-11,0.0,84.0,"""[{""""iso_639_1"""": """"en"""""," """"name"""": """"English""""}]""",Released,,The Little Ponderosa Zoo,2.0,The Little Ponderosa Zoo,[],[],[],[],[],0.0,"[500000.0,0.07307899743318558,84.0,0.0]",0
0.0,[],,325579,[],en,Diamond Ruff,"Action - Orphan, con artist, crime boss and millionaire, Diamond Ruff has seen it all. In prison for a murder he did not commit, he meets the Reverend Trek Woods, who overwhelms him with kindness, character and faith in god. Falling in love with April, a young woman with terminal illness, Ruff is again challenged to grow and change. Will he be redeemed? There are no easy answers. -  Felicia Pearson, Fredro Starr, Michael Barra",0.165257,[],[],2015-01-01,0.0,0.0,[],Released,,Diamond Ruff,2.4,4,Diamond Ruff,[],[],[],[],[],0.0,"(4,[1],[0.16525700688362122])",0
0.0,[],http://mutualfriendsmovie.com/,198370,[],en,Mutual Friends,"Surprise parties rarely go well. This one is no different, as a group of 30-somethings head through life, love and a day in New York City.",0.136721,[],[],2014-04-15,0.0,0.0,"""[{""""iso_639_1"""": """"en"""""," """"name"""": """"English""""}]""",Released,Surprise parties rarely go well.,Mutual Friends,0.0,Mutual Friends,"""[{""""cast_id"""": 3"," """"character"""": """"Liv""""",[],"""[{""""cast_id"""": 3"," """"character"""": """"Liv""""",0.0,"(4,[1],[0.13672100007534027])",0
0.0,[],,328307,[],en,Rise of the Entrepreneur: The Search for a Better Way,"The world is changing faster than ever. Technology is accelerating, job security is declining and income inequality is increasing. People are overworked and underpaid. With less time and freedom, people are left wondering if there is a better way. Our changing economy has led to the rise of the entrepreneur. The fastest, most dependable and controllable way to become wealthy is to own your own business. This documentary gathers today's best experts and thought leaders to forever change how you view work and wealth. Featuring experts Jordan Adler, John Assaraf, Kody Bateman, Chris Brogan, Richard Bliss Brooke, Ali Brown, Les Brown, Jack Canfield, Harry S. Dent, Jr., Dr. Linda Ferrell, Dr. OC Ferrell, Mark Victor Hansen, Kevin Harrington, Kim Kiyosaki, Robert Kiyosaki, Joseph N. Mariano, Dr. Ivan Misner, Paul Zane Pilzer, Bob Proctor, Susan Sly, Loren Slocum, Kevin Thompson, Brian Tracy, Eric Worre and Sandra Yancey.",0.052942,[],[],2014-11-20,0.0,0.0,[],Released,,Rise of the Entrepreneur: The Search for a Better Way,8.0,1,Rise of the Entrepreneur: The Search for a Better Way,[],[],[],[],[],0.0,"(4,[1],[0.052942000329494476])",0
0.0,[],,162396,[],en,The Big Swap,"In this British drama, Ellen (Sorcha Brooks) and Jack (Antony Edridge) recall a time when they traded partners, and their remarks set a partner-swapping party in motion among four other couples. As the long night's journey into sex progresses, various fears and anxieties surface. Shown at Montreal's 1997 World Film Festival and the 1997 San Sebastian Film Festival.",0.627763,[],[],1998-06-11,0.0,0.0,"""[{""""iso_639_1"""": """"en"""""," """"name"""": """"English""""}]""",Released,,The Big Swap,0.0,The Big Swap,"""[{""""cast_id"""": 2"," """"character"""": """"Sam""""",[],"""[{""""cast_id"""": 2"," """"character"""": """"Sam""""",0.0,"(4,[1],[0.6277629733085632])",0
0.0,[],,300327,[],en,Death Calls,"An action-packed love story on the Mexican border featuring oppression, revenge, reincarnation and rebirth.",0.005883,[],[],2010-09-01,0.0,0.0,[],Released,,Death Calls,0.0,0,Death Calls,[],[],[],[],[],0.0,"(4,[1],[0.005882999859750271])",0
0.0,[],,320435,[],en,UnDivided,"UnDivided documents the true story of how a suburban church unites with at-risk Roosevelt High School to create a beautiful transformation for students, the school and the volunteers serving it.",0.010607,[],[],2013-02-01,0.0,0.0,[],Released,,UnDivided,0.0,0,UnDivided,[],[],[],[],[],0.0,"(4,[1],[0.010607000440359116])",0
0.0,[],,194588,[],en,Short Cut to Nirvana: Kumbh Mela,"Every 12 years over 70 million pilgrims gather at the meeting of India's holiest rivers, the Ganges and the Yamuna, for a spectacular spiritual festival: the Kumbh Mela. This documentary takes a voyage of discovery through this colorful event through the eyes of several Westerners and an ebullient young Hindu monk, Swami Krishnanand. Featuring encounters with some of India's most respected holy men and exclusive footage of His Holiness the Dalai Lama.",0.004998,[],[],2004-05-11,0.0,85.0,[],Released,,Short Cut to Nirvana: Kumbh Mela,0.0,0,Short Cut to Nirvana: Kumbh Mela,[],[],[],[],[],0.0,"[0.0,0.004997999873012304,85.0,0.0]",0
0.0,[],,38786,[],en,The Blood of My Brother: A Story of Death in Iraq,"THE BLOOD OF MY BROTHER goes behind the scenes of one Iraqi family's struggle to survive amidst the carnage of the growing Shia insurgency. Nineteen-year-old Ibrahim dreams of revenge when his brother is shot and killed by an American patrol. With scenes of fighting and death on the streets of Baghdad, this is the closest most viewers will ever come to being in Iraq; kneeling in prayer amidst a thousand Muslim worshipers, feeling the roar of low-flying Apaches, riding atop a sixty-ton tank, driving with masked resistance fighters to attack American positions, fleeing the threat of an overwhelming response, the blood in the street, a tank on fire, or the cold, distant stare of a dead Iraqi fighter. Written by Andrew Berends.",0.005256,[],[],2005-11-25,0.0,90.0,[],Released,,The Blood of My Brother: A Story of Death in Iraq,0.0,0,The Blood of My Brother: A Story of Death in Iraq,[],[],[],[],[],0.0,"[0.0,0.0052559999749064445,90.0,0.0]",0
